Newick_label,family,order,class,correctedName
Pseudosciaena_crocea,Sciaenidae,Larimichthys,Actinopterygii,
Channa_punctata,Channidae,Anabantiformes,Actinopterygii,
Rutilus_rutilus,Leuciscidae,Cypriniformes,Actinopterygii,
Siganus_fuscescens,Siganidae,Siganus,Actinopterygii,
Oncorhynchus_mykiss,Salmonidae,Salmoniformes,Actinopterygii,
Anguilla_japonica,Anguillidae,Anguilliformes,Actinopterygii,
Lates_calcarifer,Centropomidae,Lates,Actinopterygii,
Oreochromis_niloticus,Cichlidae,Cichliformes,Actinopterygii,
Perca_fluviatilis,Percidae,Perciformes,Actinopterygii,
Solea_senegalensis,Soleidae,Pleuronectiformes,Actinopterygii,
Oreochromis_niloticus,Cichlidae,Cichliformes,Actinopterygii,Oreochromis_niloticus
Syngnathus_typhle,Syngnathidae,Syngnathiformes,Actinopterygii,
Cyprinus_carpio,Cyprinidae,Cypriniformes,Actinopterygii,
Tor_tambroides,Cyprinidae,Cypriniformes,Actinopterygii,
Diplodus_sargus,Sparidae,Spariformes,Actinopterygii,
Ctenopharyngodon_idella,Xenocyprididae,Cypriniformes,Actinopterygii,
Chilomycterus_schoepfi,Diodontidae,Tetraodontiformes,Actinopterygii,
Neocirrhites_armatus,Cirrhitidae,Centrarchiformes,Actinopterygii,
Danio_rerio,Danionidae,Cypriniformes,Actinopterygii,
Heteropneustes_fossilis,Heteropneustidae,Siluriformes,Actinopterygii,
Alosa_alosa,Clupeidae,Clupeiformes,Actinopterygii,
Lepomis_macrochirus,Centrarchidae,Centrarchiformes,Actinopterygii,
Wallago_attu,Siluridae,Siluriformes,Actinopterygii,
Xenentodon_cancila,Belonidae,Beloniformes,Actinopterygii,
Sciaenops_ocellatus,Sciaenidae,Sciaenops,Actinopterygii,
Selenotoca_multifasciata,Scatophagidae,Selenotoca,Actinopterygii,
Siganus_rivulatus,Siganidae,Siganus,Actinopterygii,
Etroplus_suratensis,Cichlidae,Cichliformes,Actinopterygii,
Seriola_dumerili,Carangidae,Carangiformes,Actinopterygii,
Mugil_cephalus,Mugilidae,Mugiliformes,Actinopterygii,
Aplodactylus_punctatus,Aplodactylidae,Centrarchiformes,Actinopterygii,
Takifugu_obscurus,Tetraodontidae,Tetraodontiformes,Actinopterygii,Takifugu_obscurus
Ctenopharyngodon_idella,Xenocyprididae,Cypriniformes,Actinopterygii,Ctenopharyngodon_idella
Squalius_cephalus,Leuciscidae,Cypriniformes,Actinopterygii,
Hypophthalmichthys_molitrix,Xenocyprididae,Cypriniformes,Actinopterygii,
Paralichthys_adspersus,Paralichthyidae,Pleuronectiformes,Actinopterygii,
Micropterus_salmoides,Centrarchidae,Centrarchiformes,Actinopterygii,
Anguilla_marmorata,Anguillidae,Anguilliformes,Actinopterygii,
Takifugu_obscurus,Tetraodontidae,Tetraodontiformes,Actinopterygii,
Sabethes_Gymnothorax,Muraenidae,Anguilliformes,Actinopterygii,
Kareius_bicoloratus,Pleuronectidae,Pleuronectiformes,Actinopterygii,
Leptodactylus_latrans,Leptodactylidae,Anura,Amphibia,
Xenopus_laevis,Pipidae,Anura,Amphibia,
Notophthalmus_viridescens,Salamandridae,Caudata,Amphibia,Notophthalmus_viridescens
Gallus_gallus,Phasianidae,Galliformes,Aves,
Anas_platyrhynchos,Anatidae,Anseriformes,Aves,
Platycercus_elegans,Psittacidae,Psittaciformes,Aves,
Columba_livia,Columbidae,Columbiformes,Aves,
Cairina_moschata,Anatidae,Anseriformes,Aves,
Anser_anser,Anatidae,Anseriformes,Aves,
Abrornis_inornata,Phylloscopidae,Passeriformes,Aves,
Grus_japonensis,Gruidae,Gruiformes,Aves,
Grus_americana,Gruidae,Gruiformes,Aves,
Cinereous_vulture,Accipitridae,Accipitriformes,Aves,
Pygoscelis_antarctica,Spheniscidae,Sphenisciformes,Aves,
Meleagris_gallopavo,Phasianidae,Galliformes,Aves,
Anser_albifrons,Anatidae,Anseriformes,Aves,
Struthio_camelus,Struthionidae,Struthioniformes,Aves,
Emberiza_tristrami,Fringillidae,Passeriformes,Aves,
Struthio_camelus,Struthionidae,Struthioniformes,Aves,Struthio_camelus
Phasianus_colchicus,Phasianidae,Galliformes,Aves,
Calidris_fuscicollis,Scolopacidae,Charadriiformes,Aves,
Melopsittacus_undulatus,Psittaculidae,Psittaciformes,Aves,
Pavo_cristatus,Phasianidae,Galliformes,Aves,
Anas_superciliosa,Anatidae,Anseriformes,Aves,
Taeniopygia_guttata,Estrildidae,Passeriformes,Aves,
