Newick_label,updatedScientificName,Diet,family,order,class,correctedName,domestication
Pseudosciaena_crocea,Pseudosciaena crocea,O,Sciaenidae,Larimichthys,Actinopteri,,W
Channa_punctata,Channa punctata,O,Channidae,Anabantiformes,Actinopteri,,W
Rutilus_rutilus,Rutilus rutilus,O,Leuciscidae,Cypriniformes,Actinopteri,,W
Siganus_fuscescens,Siganus fuscescens,H,Siganidae,Siganus,Actinopteri,,W
Oncorhynchus_mykiss,Oncorhynchus mykiss,C,Salmonidae,Salmoniformes,Actinopteri,,D
Anguilla_japonica,Anguilla japonica,C,Anguillidae,Anguilliformes,Actinopteri,,W
Lates_calcarifer,Lates calcarifer,C,Centropomidae,Lates,Actinopteri,,W
Oreochromis_niloticus,Oreochromis niloticus,O,Cichlidae,Cichliformes,Actinopteri,,D
Tilapia,Tilapia,O,Cichlidae,Cichliformes,Actinopteri,,D
Salmo,Salmo,O,Salmonidae,Salmoniformes,Actinopteri,,D
Perca_fluviatilis,Perca fluviatilis,C,Percidae,Perciformes,Actinopteri,,W
Solea_senegalensis,Solea senegalensis,O,Soleidae,Pleuronectiformes,Actinopteri,,W
Nile_Tilapia,Nile Tilapia,O,Cichlidae,Cichliformes,Actinopteri,Oreochromis_niloticus,D
Syngnathus_typhle,Syngnathus typhle,C,Syngnathidae,Syngnathiformes,Actinopteri,,W
Cyprinus_carpio,Cyprinus carpio,O,Cyprinidae,Cypriniformes,Actinopteri,,D
Tor_tambroides,Tor tambroides,O,Cyprinidae,Cypriniformes,Actinopteri,,W
Diplodus_sargus,Diplodus sargus,O,Sparidae,Spariformes,Actinopteri,,W
Ctenopharyngodon_idella,Ctenopharyngodon idella,H,Xenocyprididae,Cypriniformes,Actinopteri,,W
Chilomycterus_schoepfi,Chilomycterus schoepfi,C,Diodontidae,Tetraodontiformes,Actinopteri,,W
Neocirrhites_armatus,Neocirrhites armatus,O,Cirrhitidae,Centrarchiformes,Actinopteri,,W
