Newick_label,updatedScientificName,family,order,class,correctedName
Pseudosciaena_crocea,Pseudosciaena_crocea,Sciaenidae,Larimichthys,Actinopterigyii ,
Channa_punctata,Channa_punctata,Channidae,Anabantiformes,Actinopterigyii ,
Rutilus_rutilus,Rutilus_rutilus,Leuciscidae,Cypriniformes,Actinopterigyii ,
Siganus_fuscescens,Siganus_fuscescens,Siganidae,Siganus,Actinopterigyii ,
Oncorhynchus_mykiss,Oncorhynchus_mykiss,Salmonidae,Salmoniformes,Actinopterigyii ,
Anguilla_japonica,Anguilla_japonica,Anguillidae,Anguilliformes,Actinopterigyii ,
Lates_calcarifer,Lates_calcarifer,Centropomidae,Lates,Actinopterigyii ,
Oreochromis_niloticus,Oreochromis_niloticus,Cichlidae,Cichliformes,Actinopterigyii ,
Perca_fluviatilis,Perca_fluviatilis,Percidae,Perciformes,Actinopterigyii ,
Solea_senegalensis,Solea_senegalensis,Soleidae,Pleuronectiformes,Actinopterigyii ,
Nile_Tilapia,Oreochromis_niloticus,Cichlidae,Cichliformes,Actinopterigyii ,Oreochromis_niloticus
Syngnathus_typhle,Syngnathus_typhle,Syngnathidae,Syngnathiformes,Actinopterigyii ,
Cyprinus_carpio,Cyprinus_carpio,Cyprinidae,Cypriniformes,Actinopterigyii ,
Tor_tambroides,Tor_tambroides,Cyprinidae,Cypriniformes,Actinopterigyii ,
Diplodus_sargus,Diplodus_sargus,Sparidae,Spariformes,Actinopterigyii ,
Ctenopharyngodon_idella,Ctenopharyngodon_idella,Xenocyprididae,Cypriniformes,Actinopterigyii ,
Chilomycterus_schoepfi,Chilomycterus_schoepfi,Diodontidae,Tetraodontiformes,Actinopterigyii ,
Neocirrhites_armatus,Neocirrhites_armatus,Cirrhitidae,Centrarchiformes,Actinopterigyii ,
Danio_rerio,Danio_rerio,Danionidae,Cypriniformes,Actinopterigyii ,
Heteropneustes_fossilis,Heteropneustes_fossilis,Heteropneustidae,Siluriformes,Actinopterigyii ,
Alosa_alosa,Alosa_alosa,Clupeidae,Clupeiformes,Actinopterigyii ,
Lepomis_macrochirus,Lepomis_macrochirus,Centrarchidae,Centrarchiformes,Actinopterigyii ,
Wallago_attu,Wallago_attu,Siluridae,Siluriformes,Actinopterigyii ,
Xenentodon_cancila,Xenentodon_cancila,Belonidae,Beloniformes,Actinopterigyii ,
Sciaenops_ocellatus,Sciaenops_ocellatus,Sciaenidae,Sciaenops,Actinopterigyii ,
Selenotoca_multifasciata,Selenotoca_multifasciata,Scatophagidae,Selenotoca,Actinopterigyii ,
Siganus_rivulatus,Siganus_rivulatus,Siganidae,Siganus,Actinopterigyii ,
Etroplus_suratensis,Etroplus_suratensis,Cichlidae,Cichliformes,Actinopterigyii ,
Seriola_dumerili,Seriola_dumerili,Carangidae,Carangiformes,Actinopterigyii ,
Mugil_cephalus,Mugil_cephalus,Mugilidae,Mugiliformes,Actinopterigyii ,
Aplodactylus_punctatus,Aplodactylus_punctatus,Aplodactylidae,Centrarchiformes,Actinopterigyii ,
Fugu,Takifugu_obscurus,Tetraodontidae,Tetraodontiformes,Actinopterigyii ,Takifugu_obscurus
Grass_Carp,Ctenopharyngodon_idella,Xenocyprididae,Cypriniformes,Actinopterigyii ,Ctenopharyngodon_idella
Squalius_cephalus,Squalius_cephalus,Leuciscidae,Cypriniformes,Actinopterigyii ,
Hypophthalmichthys_molitrix,Hypophthalmichthys_molitrix,Xenocyprididae,Cypriniformes,Actinopterigyii ,
Paralichthys_adspersus,Paralichthys_adspersus,Paralichthyidae,Pleuronectiformes,Actinopterigyii ,
Micropterus_salmoides,Micropterus_salmoides,Centrarchidae,Centrarchiformes,Actinopterigyii ,
Anguilla_marmorata,Anguilla_marmorata,Anguillidae,Anguilliformes,Actinopterigyii ,
Takifugu_obscurus,Takifugu_obscurus,Tetraodontidae,Tetraodontiformes,Actinopterigyii ,
Sabethes_Gymnothorax,Sabethes_Gymnothorax,Muraenidae,Anguilliformes,Actinopterigyii ,
Kareius_bicoloratus,Kareius_bicoloratus,Pleuronectidae,Pleuronectiformes,Actinopterigyii ,
Leptodactylus_latrans,Leptodactylus_latrans,Leptodactylidae,Anura,Amphibia,
Xenopus_laevis,Xenopus_laevis,Pipidae,Anura,Amphibia,
Red-spotted_newt,Notophthalmus_viridescens,Salamandridae,Caudata,Amphibia,Notophthalmus_viridescens
Gallus_gallus,Gallus_gallus,Phasianidae,Galliformes,Aves,
Anas_platyrhynchos,Anas_platyrhynchos,Anatidae,Anseriformes,Aves,
Platycercus_elegans,Platycercus_elegans,Psittacidae,Psittaciformes,Aves,
Columba_livia,Columba_livia,Columbidae,Columbiformes,Aves,
Cairina_moschata,Cairina_moschata,Anatidae,Anseriformes,Aves,
Anser_anser,Anser_anser,Anatidae,Anseriformes,Aves,
Abrornis_inornata,Abrornis_inornata,Phylloscopidae,Passeriformes,Aves,
Grus_japonensis,Grus_japonensis,Gruidae,Gruiformes,Aves,
Grus_americana,Grus_americana,Gruidae,Gruiformes,Aves,
Cinereous_vulture,Cinereous_vulture,Accipitridae,Accipitriformes,Aves,
Pygoscelis_antarctica,Pygoscelis_antarctica,Spheniscidae,Sphenisciformes,Aves,
Meleagris_gallopavo,Meleagris_gallopavo,Phasianidae,Galliformes,Aves,
Anser_albifrons,Anser_albifrons,Anatidae,Anseriformes,Aves,
Struthio_camelus,Struthio_camelus,Struthionidae,Struthioniformes,Aves,
Emberiza_tristrami,Emberiza_tristrami,Fringillidae,Passeriformes,Aves,
Ostrich,Struthio_camelus,Struthionidae,Struthioniformes,Aves,Struthio_camelus
Phasianus_colchicus,Phasianus_colchicus,Phasianidae,Galliformes,Aves,
Calidris_fuscicollis,Calidris_fuscicollis,Scolopacidae,Charadriiformes,Aves,
Melopsittacus_undulatus,Melopsittacus_undulatus,Psittaculidae,Psittaciformes,Aves,
Pavo_cristatus,Pavo_cristatus,Phasianidae,Galliformes,Aves,
Anas_superciliosa,Anas_superciliosa,Anatidae,Anseriformes,Aves,
Taeniopygia_guttata,Taeniopygia_guttata,Estrildidae,Passeriformes,Aves,
Anser_cygnoides,Anser_cygnoides,Anatidae,Anseriformes,Aves,
Anser_indicus,Anser_indicus,Anatidae,Anseriformes,Aves,
Tyto_alba,Tyto_alba,Tytonidae,Strigiformes,Aves,
Phoenicopteridae,Phoenicopterus_roseus,Phoenicopteriformes,Phoenicopteriformes,Aves,Phoenicopterus_roseus
Lanius_cristatus,Lanius_cristatus,Laniidae,Passeriformes,Aves,
Luscinia_cyanura,Luscinia_cyanura,Turdidae,Passeriformes,Aves,
Abrornis_proregulus,Abrornis_proregulus,Phylloscopidae,Passeriformes,Aves,
Swan,Anser_cygnoides,Anatidae,Anseriformes,Aves,Anser_cygnoides
Octopus_vulgaris,Octopus_vulgaris,Octopodidae,Octopoda,Cephalopoda,
Octopus_mimus,Octopus_vulgaris,Octopodidae,Octopoda,Cephalopoda,Octopus_vulgaris
Zearaja_nasuta,Zearaja_nasuta,Rajidae,Rajiformes,Chondrichthyes,
Black_Bear,Ursus_americanus,Ursidae,Carnivora,Mammalia,Ursus_americanus
Fox,Vulpes_vulpes,Canidae,Carnivora,Mammalia,Vulpes_vulpes
Arctocephalus_australis,Arctocephalus_australis,Otariidae,Carnivora,Mammalia,
Macaca_mulatta,Macaca_mulatta,Cercopithecidae,Primates,Mammalia,
Camelus_dromedarius,Camelus_dromedarius,Camelidae,Artiodactyla,Mammalia,
Equus_caballus,Equus_caballus,Equidae,Perissodactyla,Mammalia,
Eidolon_helvum,Eidolon_helvum,Pteropodidae,Chiroptera,Mammalia,
Eptesicus_fuscus,Eptesicus_fuscus,Vespertilionidae,Chiroptera,Mammalia,
Hydrochoerus_hydrochaeris,Hydrochoerus_hydrochaeris,Hydrochaeridae,Rodentia,Mammalia,
Gorilla,Gorilla_gorilla,Hominidae,Primates,Mammalia,Gorilla_gorilla
Mus_musculus,Mus_musculus,Muridae,Rodentia,Mammalia,
Dama_dama,Dama_dama,Cervidae,Artiodactyla,Mammalia,
Ovis_aries,Ovis_aries,Bovidae,Artiodactyla,Mammalia,
